,neighbor_burning,neighbor_birth,alea_burning,Green_proportion
526,50,20,60,0.08484375
527,50,20,70,0.05375
528,50,20,80,0.035625
529,50,20,90,0.005
530,50,30,0,0.91625
531,50,30,10,0.4096875
532,50,30,20,0.32140625
533,50,30,30,0.27796875
534,50,30,40,0.21796875
535,50,30,50,0.19578125
536,50,30,60,0.1728125
537,50,30,70,0.15953125
538,50,30,80,0.14203125
539,50,30,90,0.1309375
540,50,40,0,0.931875
541,50,40,10,0.44109375
542,50,40,20,0.364375
543,50,40,30,0.3146875
544,50,40,40,0.27203125
545,50,40,50,0.2384375
546,50,40,60,0.20953125
547,50,40,70,0.20671875
548,50,40,80,0.1846875
549,50,40,90,0.17625
550,50,50,0,0.94078125
551,50,50,10,0.45546875
552,50,50,20,0.39109375
553,50,50,30,0.34265625
554,50,50,40,0.30765625
555,50,50,50,0.26609375
556,50,50,60,0.25390625
557,50,50,70,0.23515625
558,50,50,80,0.2228125
559,50,50,90,0.2015625
560,50,60,0,0.9540625
561,50,60,10,0.489375
562,50,60,20,0.4059375
563,50,60,30,0.36
564,50,60,40,0.33609375
565,50,60,50,0.29015625
566,50,60,60,0.26265625
567,50,60,70,0.2496875
568,50,60,80,0.22125
569,50,60,90,0.21390625
570,50,70,0,0.96671875
571,50,70,10,0.49859375
572,50,70,20,0.43125
573,50,70,30,0.3809375
574,50,70,40,0.35125
575,50,70,50,0.30953125
576,50,70,60,0.291875
577,50,70,70,0.266875
578,50,70,80,0.2484375
579,50,70,90,0.2303125
580,50,80,0,0.97953125
581,50,80,10,0.51828125
582,50,80,20,0.43984375
583,50,80,30,0.39703125
584,50,80,40,0.3546875
585,50,80,50,0.33359375
586,50,80,60,0.31078125
587,50,80,70,0.280625
588,50,80,80,0.2596875
589,50,80,90,0.2634375
590,50,90,0,0.98859375
591,50,90,10,0.5234375
592,50,90,20,0.451875
593,50,90,30,0.40796875
594,50,90,40,0.3671875
595,50,90,50,0.35046875
596,50,90,60,0.32046875
597,50,90,70,0.3090625
598,50,90,80,0.29625
599,50,90,90,0.2546875
600,60,0,0,0.05859375
601,60,0,10,0.0
602,60,0,20,0.0
603,60,0,30,0.0
604,60,0,40,0.0
605,60,0,50,0.0
606,60,0,60,0.0
607,60,0,70,0.0
608,60,0,80,0.0
609,60,0,90,0.0
610,60,10,0,0.88859375
611,60,10,10,0.1465625
612,60,10,20,0.000625
613,60,10,30,0.0
614,60,10,40,0.0
615,60,10,50,0.0
616,60,10,60,0.0
617,60,10,70,0.0
618,60,10,80,0.0
619,60,10,90,0.0
620,60,20,0,0.89734375
621,60,20,10,0.308125
622,60,20,20,0.22984375
623,60,20,30,0.175625
624,60,20,40,0.136875
625,60,20,50,0.108125
626,60,20,60,0.07875
627,60,20,70,0.05125
628,60,20,80,0.02890625
629,60,20,90,0.00390625
630,60,30,0,0.91734375
631,60,30,10,0.38265625
632,60,30,20,0.29609375
633,60,30,30,0.2609375
634,60,30,40,0.21859375
635,60,30,50,0.2034375
636,60,30,60,0.16453125
637,60,30,70,0.1528125
638,60,30,80,0.13625
639,60,30,90,0.13125
640,60,40,0,0.92765625
641,60,40,10,0.4034375
642,60,40,20,0.333125
643,60,40,30,0.30125
644,60,40,40,0.253125
645,60,40,50,0.24125
646,60,40,60,0.218125
647,60,40,70,0.19421875
648,60,40,80,0.17609375
649,60,40,90,0.16703125
650,60,50,0,0.94125
651,60,50,10,0.41875
652,60,50,20,0.36234375
653,60,50,30,0.31875
654,60,50,40,0.2821875
655,60,50,50,0.26421875
656,60,50,60,0.2284375
657,60,50,70,0.23390625
658,60,50,80,0.2078125
659,60,50,90,0.19328125
660,60,60,0,0.95828125
661,60,60,10,0.46015625
662,60,60,20,0.3675
663,60,60,30,0.3446875
664,60,60,40,0.32234375
665,60,60,50,0.281875
666,60,60,60,0.2640625
667,60,60,70,0.26296875
668,60,60,80,0.2378125
669,60,60,90,0.2171875
670,60,70,0,0.9696875
671,60,70,10,0.4603125
672,60,70,20,0.399375
673,60,70,30,0.37359375
674,60,70,40,0.3290625
675,60,70,50,0.3121875
676,60,70,60,0.29
677,60,70,70,0.26921875
678,60,70,80,0.25125
679,60,70,90,0.24171875
680,60,80,0,0.975625
681,60,80,10,0.47171875
682,60,80,20,0.41
683,60,80,30,0.3746875
684,60,80,40,0.3575
685,60,80,50,0.31078125
686,60,80,60,0.28921875
687,60,80,70,0.2821875
688,60,80,80,0.26671875
689,60,80,90,0.25015625
690,60,90,0,0.9915625
691,60,90,10,0.47390625
692,60,90,20,0.40859375
693,60,90,30,0.38265625
694,60,90,40,0.368125
695,60,90,50,0.3134375
696,60,90,60,0.30921875
697,60,90,70,0.29296875
698,60,90,80,0.2771875
699,60,90,90,0.258125
700,70,0,0,0.046875
701,70,0,10,0.0
702,70,0,20,0.0
703,70,0,30,0.0
704,70,0,40,0.0
705,70,0,50,0.0
706,70,0,60,0.0
707,70,0,70,0.0
708,70,0,80,0.0
709,70,0,90,0.0
710,70,10,0,0.89359375
711,70,10,10,0.07390625
712,70,10,20,0.0
713,70,10,30,0.0
714,70,10,40,0.0
715,70,10,50,0.0
716,70,10,60,0.0
717,70,10,70,0.0
718,70,10,80,0.0
719,70,10,90,0.0
720,70,20,0,0.90171875
721,70,20,10,0.27703125
722,70,20,20,0.1996875
723,70,20,30,0.155
724,70,20,40,0.12796875
725,70,20,50,0.09703125
726,70,20,60,0.07640625
727,70,20,70,0.05203125
728,70,20,80,0.029375
729,70,20,90,0.00640625
730,70,30,0,0.9134375
731,70,30,10,0.33
732,70,30,20,0.27765625
733,70,30,30,0.235
734,70,30,40,0.2009375
735,70,30,50,0.1746875
736,70,30,60,0.16703125
737,70,30,70,0.15375
738,70,30,80,0.13625
739,70,30,90,0.13046875
740,70,40,0,0.92734375
741,70,40,10,0.3525
742,70,40,20,0.31421875
743,70,40,30,0.2671875
744,70,40,40,0.2465625
745,70,40,50,0.2346875
746,70,40,60,0.20875
747,70,40,70,0.19203125
748,70,40,80,0.17484375
749,70,40,90,0.17125
750,70,50,0,0.9359375
751,70,50,10,0.384375
752,70,50,20,0.328125
753,70,50,30,0.30609375
754,70,50,40,0.2784375
755,70,50,50,0.24453125
756,70,50,60,0.229375
757,70,50,70,0.21484375
758,70,50,80,0.2
759,70,50,90,0.1971875
760,70,60,0,0.95359375
761,70,60,10,0.41515625
762,70,60,20,0.35171875
763,70,60,30,0.32015625
764,70,60,40,0.291875
765,70,60,50,0.27921875
766,70,60,60,0.254375
767,70,60,70,0.24328125
768,70,60,80,0.23125
769,70,60,90,0.2215625
770,70,70,0,0.9690625
771,70,70,10,0.4171875
772,70,70,20,0.375625
773,70,70,30,0.33109375
774,70,70,40,0.31515625
775,70,70,50,0.29171875
776,70,70,60,0.26421875
777,70,70,70,0.27421875
778,70,70,80,0.25296875
779,70,70,90,0.2290625
780,70,80,0,0.97828125
